- - - Parallel DBSCAN Clustering Output - - -
Key: 0 = Noise | > 0 = Cluster ID

ID | Cluster
0 | 4
1 | 46
2 | 10
3 | 12
4 | 11
5 | 20
6 | 6
7 | 2
8 | 42
9 | 6
10 | 3
11 | 17
12 | 13
13 | 3
14 | 0
15 | 2
16 | 50
17 | 4
18 | 2
19 | 24
20 | 46
21 | 47
22 | 39
23 | 8
24 | 42
25 | 4
26 | 28
27 | 40
28 | 44
29 | 2
30 | 6
31 | 29
32 | 0
33 | 17
34 | 21
35 | 12
36 | 35
37 | 31
38 | 42
39 | 31
40 | 23
41 | 46
42 | 3
43 | 9
44 | 30
45 | 28
46 | 28
47 | 2
48 | 35
49 | 0
50 | 44
51 | 51
52 | 33
53 | 2
54 | 14
55 | 46
56 | 7
57 | 36
58 | 46
59 | 44
60 | 48
61 | 27
62 | 36
63 | 33
64 | 0
65 | 30
66 | 50
67 | 25
68 | 41
69 | 29
70 | 39
71 | 0
72 | 24
73 | 6
74 | 44
75 | 25
76 | 29
77 | 20
78 | 44
79 | 32
80 | 44
81 | 22
82 | 46
83 | 43
84 | 38
85 | 38
86 | 26
87 | 48
88 | 26
89 | 46
90 | 14
91 | 18
92 | 29
93 | 42
94 | 27
95 | 33
96 | 23
97 | 0
98 | 14
99 | 21
100 | 9
101 | 32
102 | 38
103 | 11
104 | 4
105 | 36
106 | 27
107 | 0
108 | 12
109 | 33
110 | 0
111 | 35
112 | 36
113 | 50
114 | 28
115 | 27
116 | 22
117 | 19
118 | 33
119 | 43
120 | 30
121 | 33
122 | 0
123 | 38
124 | 50
125 | 12
126 | 39
127 | 2
128 | 36
129 | 29
130 | 41
131 | 12
132 | 46
133 | 0
134 | 23
135 | 11
136 | 44
137 | 21
138 | 0
139 | 5
140 | 42
141 | 9
142 | 8
143 | 26
144 | 21
145 | 29
146 | 0
147 | 28
148 | 33
149 | 45
150 | 46
151 | 41
152 | 38
153 | 18
154 | 18
155 | 40
156 | 11
157 | 9
158 | 0
159 | 6
160 | 4
161 | 17
162 | 41
163 | 40
164 | 29
165 | 0
166 | 35
167 | 42
168 | 21
169 | 2
170 | 39
171 | 29
172 | 37
173 | 13
174 | 2
175 | 48
176 | 35
177 | 4
178 | 21
179 | 16
180 | 15
181 | 22
182 | 10
183 | 32
184 | 13
185 | 13
186 | 26
187 | 21
188 | 48
189 | 0
190 | 14
191 | 22
192 | 30
193 | 0
194 | 21
195 | 29
196 | 17
197 | 29
198 | 18
199 | 0
200 | 40
201 | 24
202 | 45
203 | 31
204 | 0
205 | 34
206 | 24
207 | 28
208 | 39
209 | 33
210 | 48
211 | 48
212 | 8
213 | 40
214 | 41
215 | 0
216 | 23
217 | 47
218 | 46
219 | 47
220 | 34
221 | 22
222 | 0
223 | 5
224 | 0
225 | 49
226 | 19
227 | 5
228 | 44
229 | 47
230 | 21
231 | 19
232 | 18
233 | 9
234 | 21
235 | 46
236 | 28
237 | 20
238 | 0
239 | 0
240 | 49
241 | 30
242 | 43
243 | 30
244 | 38
245 | 19
246 | 8
247 | 5
248 | 50
249 | 40
250 | 3
251 | 34
252 | 32
253 | 12
254 | 25
255 | 49
256 | 42
257 | 26
258 | 26
259 | 33
260 | 41
261 | 19
262 | 0
263 | 2
264 | 12
265 | 25
266 | 46
267 | 11
268 | 0
269 | 42
270 | 28
271 | 32
272 | 28
273 | 3
274 | 9
275 | 26
276 | 26
277 | 51
278 | 39
279 | 41
280 | 49
281 | 41
282 | 18
283 | 38
284 | 29
285 | 9
286 | 24
287 | 15
288 | 39
289 | 25
290 | 40
291 | 7
292 | 11
293 | 23
294 | 43
295 | 12
296 | 39
297 | 27
298 | 50
299 | 39
300 | 3
301 | 18
302 | 34
303 | 42
304 | 18
305 | 22
306 | 2
307 | 25
308 | 6
309 | 32
310 | 38
311 | 25
312 | 38
313 | 31
314 | 18
315 | 9
316 | 22
317 | 11
318 | 39
319 | 49
320 | 2
321 | 48
322 | 33
323 | 44
324 | 4
325 | 49
326 | 19
327 | 21
328 | 48
329 | 33
330 | 38
331 | 0
332 | 44
333 | 48
334 | 43
335 | 36
336 | 5
337 | 3
338 | 48
339 | 17
340 | 29
341 | 23
342 | 8
343 | 5
344 | 14
345 | 51
346 | 12
347 | 25
348 | 14
349 | 4
350 | 23
351 | 5
352 | 12
353 | 21
354 | 42
355 | 46
356 | 35
357 | 12
358 | 2
359 | 9
360 | 18
361 | 10
362 | 0
363 | 45
364 | 18
365 | 0
366 | 6
367 | 30
368 | 44
369 | 5
370 | 39
371 | 30
372 | 23
373 | 23
374 | 5
375 | 27
376 | 37
377 | 8
378 | 23
379 | 9
380 | 9
381 | 23
382 | 16
383 | 28
384 | 25
385 | 51
386 | 46
387 | 35
388 | 34
389 | 17
390 | 45
391 | 21
392 | 41
393 | 22
394 | 24
395 | 23
396 | 20
397 | 41
398 | 51
399 | 11
400 | 41
401 | 14
402 | 7
403 | 3
404 | 3
405 | 41
406 | 36
407 | 4
408 | 47
409 | 11
410 | 8
411 | 45
412 | 34
413 | 18
414 | 42
415 | 20
416 | 23
417 | 8
418 | 44
419 | 10
420 | 37
421 | 40
422 | 7
423 | 36
424 | 49
425 | 34
426 | 48
427 | 27
428 | 4
429 | 8
430 | 0
431 | 22
432 | 35
433 | 3
434 | 25
435 | 30
436 | 17
437 | 3
438 | 16
439 | 20
440 | 26
441 | 23
442 | 29
443 | 45
444 | 40
445 | 30
446 | 12
447 | 26
448 | 24
449 | 28
450 | 34
451 | 47
452 | 9
453 | 50
454 | 2
455 | 0
456 | 15
457 | 15
458 | 29
459 | 50
460 | 44
461 | 3
462 | 22
463 | 38
464 | 41
465 | 44
466 | 32
467 | 13
468 | 46
469 | 49
470 | 10
471 | 21
472 | 18
473 | 29
474 | 11
475 | 6
476 | 35
477 | 0
478 | 27
479 | 27
480 | 27
481 | 42
482 | 25
483 | 41
484 | 23
485 | 21
486 | 4
487 | 31
488 | 41
489 | 10
490 | 15
491 | 50
492 | 12
493 | 12
494 | 40
495 | 30
496 | 41
497 | 45
498 | 47
499 | 11
500 | 41
501 | 0
502 | 43
503 | 47
504 | 30
505 | 43
506 | 51
507 | 47
508 | 0
509 | 49
510 | 35
511 | 34
512 | 12
513 | 47
514 | 27
515 | 14
516 | 2
517 | 22
518 | 25
519 | 29
520 | 43
521 | 46
522 | 8
523 | 42
524 | 50
525 | 13
526 | 0
527 | 2
528 | 38
529 | 27
530 | 7
531 | 14
532 | 49
533 | 11
534 | 12
535 | 34
536 | 3
537 | 37
538 | 15
539 | 47
540 | 18
541 | 40
542 | 49
543 | 7
544 | 34
545 | 6
546 | 0
547 | 6
548 | 17
549 | 29
550 | 33
551 | 6
552 | 33
553 | 0
554 | 44
555 | 3
556 | 48
557 | 23
558 | 27
559 | 25
560 | 41
561 | 10
562 | 27
563 | 24
564 | 50
565 | 29
566 | 27
567 | 11
568 | 38
569 | 15
570 | 14
571 | 30
572 | 8
573 | 10
574 | 19
575 | 2
576 | 29
577 | 32
578 | 19
579 | 21
580 | 33
581 | 50
582 | 0
583 | 22
584 | 22
585 | 19
586 | 15
587 | 0
588 | 46
589 | 0
590 | 14
591 | 39
592 | 30
593 | 19
594 | 0
595 | 23
596 | 23
597 | 10
598 | 11
599 | 50
600 | 36
601 | 12
602 | 28
603 | 12
604 | 47
605 | 32
606 | 23
607 | 43
608 | 11
609 | 23
610 | 20
611 | 35
612 | 23
613 | 46
614 | 27
615 | 46
616 | 40
617 | 37
618 | 0
619 | 37
620 | 26
621 | 7
622 | 29
623 | 10
624 | 51
625 | 25
626 | 51
627 | 31
628 | 41
629 | 7
630 | 13
631 | 7
632 | 43
633 | 18
634 | 2
635 | 45
636 | 45
637 | 6
638 | 29
639 | 41
640 | 49
641 | 12
642 | 22
643 | 33
644 | 20
645 | 18
646 | 18
647 | 45
648 | 23
649 | 47
650 | 0
651 | 36
652 | 11
653 | 2
654 | 22
655 | 0
656 | 11
657 | 15
658 | 51
659 | 26
660 | 50
661 | 49
662 | 19
663 | 33
664 | 2
665 | 33
666 | 3
667 | 34
668 | 5
669 | 37
670 | 29
671 | 6
672 | 40
673 | 45
674 | 39
675 | 12
676 | 32
677 | 49
678 | 21
679 | 7
680 | 50
681 | 22
682 | 12
683 | 0
684 | 43
685 | 15
686 | 2
687 | 6
688 | 35
689 | 35
690 | 32
691 | 32
692 | 19
693 | 46
694 | 12
695 | 2
696 | 4
697 | 46
698 | 23
699 | 35
700 | 26
701 | 31
702 | 38
703 | 21
704 | 14
705 | 9
706 | 18
707 | 35
708 | 36
709 | 27
710 | 50
711 | 20
712 | 30
713 | 28
714 | 14
715 | 22
716 | 50
717 | 36
718 | 23
719 | 14
720 | 50
721 | 0
722 | 27
723 | 2
724 | 47
725 | 40
726 | 2
727 | 13
728 | 44
729 | 19
730 | 33
731 | 32
732 | 11
733 | 13
734 | 11
735 | 42
736 | 12
737 | 22
738 | 6
739 | 21
740 | 6
741 | 10
742 | 13
743 | 51
744 | 3
745 | 4
746 | 45
747 | 45
748 | 31
749 | 30
750 | 10
751 | 19
752 | 8
753 | 4
754 | 24
755 | 18
756 | 12
757 | 40
758 | 47
759 | 0
760 | 6
761 | 12
762 | 23
763 | 38
764 | 4
765 | 29
766 | 2
767 | 51
768 | 37
769 | 23
770 | 13
771 | 35
772 | 6
773 | 8
774 | 34
775 | 9
776 | 10
777 | 27
778 | 6
779 | 26
780 | 28
781 | 25
782 | 45
783 | 10
784 | 14
785 | 24
786 | 31
787 | 38
788 | 44
789 | 46
790 | 35
791 | 0
792 | 10
793 | 42
794 | 8
795 | 4
796 | 40
797 | 13
798 | 39
799 | 48
800 | 9
801 | 38
802 | 38
803 | 51
804 | 48
805 | 36
806 | 20
807 | 3
808 | 22
809 | 3
810 | 28
811 | 49
812 | 34
813 | 12
814 | 2
815 | 10
816 | 15
817 | 25
818 | 38
819 | 35
820 | 38
821 | 2
822 | 49
823 | 38
824 | 49
825 | 30
826 | 48
827 | 38
828 | 22
829 | 19
830 | 30
831 | 38
832 | 23
833 | 25
834 | 0
835 | 40
836 | 4
837 | 17
838 | 43
839 | 3
840 | 27
841 | 26
842 | 27
843 | 18
844 | 11
845 | 7
846 | 0
847 | 27
848 | 50
849 | 25
850 | 41
