- - - Parallel SNG Clustering Output - - -
Key: 0 = Noise | > 0 = Cluster ID
 
ID | Cluster
0  | 3
1  | 45
2  | 9
3  | 11
4  | 10
5  | 19
6  | 5
7  | 1
8  | 41
9  | 5
10 | 2
11 | 16
12 | 12
13 | 2
14 | 0
15 | 1
16 | 49
17 | 3
18 | 1
19 | 23
20 | 45
21 | 46
22 | 38
23 | 7
24 | 41
25 | 3
26 | 27
27 | 39
28 | 43
29 | 1
30 | 5
31 | 28
32 | 0
33 | 16
34 | 20
35 | 11
36 | 34
37 | 30
38 | 41
39 | 30
40 | 22
41 | 45
42 | 2
43 | 8
44 | 29
45 | 27
46 | 27
47 | 1
48 | 34
49 | 0
50 | 43
51 | 50
52 | 32
53 | 1
54 | 13
55 | 45
56 | 6
57 | 35
58 | 45
59 | 43
60 | 47
61 | 26
62 | 35
63 | 32
64 | 0
65 | 29
66 | 49
67 | 24
68 | 40
69 | 28
70 | 38
71 | 0
72 | 23
73 | 5
74 | 43
75 | 24
76 | 28
77 | 19
78 | 43
79 | 31
80 | 43
81 | 21
82 | 45
83 | 42
84 | 37
85 | 37
86 | 25
87 | 47
88 | 25
89 | 45
90 | 13
91 | 17
92 | 28
93 | 41
94 | 26
95 | 32
96 | 22
97 | 0
98 | 13
99 | 20
100 | 8
101 | 31
102 | 37
103 | 10
104 | 3
105 | 35
106 | 26
107 | 0
108 | 11
109 | 32
110 | 0
111 | 34
112 | 35
113 | 49
114 | 27
115 | 26
116 | 21
117 | 18
118 | 32
119 | 42
120 | 29
121 | 32
122 | 0
123 | 37
124 | 49
125 | 11
126 | 38
127 | 1
128 | 35
129 | 28
130 | 40
131 | 11
132 | 45
133 | 0
134 | 22
135 | 10
136 | 43
137 | 20
138 | 0
139 | 4
140 | 41
141 | 8
142 | 7
143 | 25
144 | 20
145 | 28
146 | 0
147 | 27
148 | 32
149 | 44
150 | 45
151 | 40
152 | 37
153 | 17
154 | 17
155 | 39
156 | 10
157 | 8
158 | 0
159 | 5
160 | 3
161 | 16
162 | 40
163 | 39
164 | 28
165 | 0
166 | 34
167 | 41
168 | 20
169 | 1
170 | 38
171 | 28
172 | 36
173 | 12
174 | 1
175 | 47
176 | 34
177 | 3
178 | 20
179 | 15
180 | 14
181 | 21
182 | 9
183 | 31
184 | 12
185 | 12
186 | 25
187 | 20
188 | 47
189 | 0
190 | 13
191 | 21
192 | 29
193 | 0
194 | 20
195 | 28
196 | 16
197 | 28
198 | 17
199 | 0
200 | 39
201 | 23
202 | 44
203 | 30
204 | 0
205 | 33
206 | 23
207 | 27
208 | 38
209 | 32
210 | 47
211 | 47
212 | 7
213 | 39
214 | 40
215 | 0
216 | 22
217 | 46
218 | 45
219 | 46
220 | 33
221 | 21
222 | 0
223 | 4
224 | 0
225 | 48
226 | 18
227 | 4
228 | 43
229 | 46
230 | 20
231 | 18
232 | 17
233 | 8
234 | 20
235 | 45
236 | 27
237 | 19
238 | 0
239 | 0
240 | 48
241 | 29
242 | 42
243 | 29
244 | 37
245 | 18
246 | 7
247 | 4
248 | 49
249 | 39
250 | 2
251 | 33
252 | 31
253 | 11
254 | 24
255 | 48
256 | 41
257 | 25
258 | 25
259 | 32
260 | 40
261 | 18
262 | 0
263 | 1
264 | 11
265 | 24
266 | 45
267 | 10
268 | 0
269 | 41
270 | 27
271 | 31
272 | 27
273 | 2
274 | 8
275 | 25
276 | 25
277 | 50
278 | 38
279 | 40
280 | 48
281 | 40
282 | 17
283 | 37
284 | 28
285 | 8
286 | 23
287 | 14
288 | 38
289 | 24
290 | 39
291 | 6
292 | 10
293 | 22
294 | 42
295 | 11
296 | 38
297 | 26
298 | 49
299 | 38
300 | 2
301 | 17
302 | 33
303 | 41
304 | 17
305 | 21
306 | 1
307 | 24
308 | 5
309 | 31
310 | 37
311 | 24
312 | 37
313 | 30
314 | 17
315 | 8
316 | 21
317 | 10
318 | 38
319 | 48
320 | 1
321 | 47
322 | 32
323 | 43
324 | 3
325 | 48
326 | 18
327 | 20
328 | 47
329 | 32
330 | 37
331 | 0
332 | 43
333 | 47
334 | 42
335 | 35
336 | 4
337 | 2
338 | 47
339 | 16
340 | 28
341 | 22
342 | 7
343 | 4
344 | 13
345 | 50
346 | 11
347 | 24
348 | 13
349 | 3
350 | 22
351 | 4
352 | 11
353 | 20
354 | 41
355 | 45
356 | 34
357 | 11
358 | 1
359 | 8
360 | 17
361 | 9
362 | 0
363 | 44
364 | 17
365 | 0
366 | 5
367 | 29
368 | 43
369 | 4
370 | 38
371 | 29
372 | 22
373 | 22
374 | 4
375 | 26
376 | 36
377 | 7
378 | 22
379 | 8
380 | 8
381 | 22
382 | 15
383 | 27
384 | 24
385 | 50
386 | 45
387 | 34
388 | 33
389 | 16
390 | 44
391 | 20
392 | 40
393 | 21
394 | 23
395 | 22
396 | 19
397 | 40
398 | 50
399 | 10
400 | 40
401 | 13
402 | 6
403 | 2
404 | 2
405 | 40
406 | 35
407 | 3
408 | 46
409 | 10
410 | 7
411 | 44
412 | 33
413 | 17
414 | 41
415 | 19
416 | 22
417 | 7
418 | 43
419 | 9
420 | 36
421 | 39
422 | 6
423 | 35
424 | 48
425 | 33
426 | 47
427 | 26
428 | 3
429 | 7
430 | 0
431 | 21
432 | 34
433 | 2
434 | 24
435 | 29
436 | 16
437 | 2
438 | 15
439 | 19
440 | 25
441 | 22
442 | 28
443 | 44
444 | 39
445 | 29
446 | 11
447 | 25
448 | 23
449 | 27
450 | 33
451 | 46
452 | 8
453 | 49
454 | 1
455 | 0
456 | 14
457 | 14
458 | 28
459 | 49
460 | 43
461 | 2
462 | 21
463 | 37
464 | 40
465 | 43
466 | 31
467 | 12
468 | 45
469 | 48
470 | 9
471 | 20
472 | 17
473 | 28
474 | 10
475 | 5
476 | 34
477 | 0
478 | 26
479 | 26
480 | 26
481 | 41
482 | 24
483 | 40
484 | 22
485 | 20
486 | 3
487 | 30
488 | 40
489 | 9
490 | 14
491 | 49
492 | 11
493 | 11
494 | 39
495 | 29
496 | 40
497 | 44
498 | 46
499 | 10
500 | 40
501 | 0
502 | 42
503 | 46
504 | 29
505 | 42
506 | 50
507 | 46
508 | 0
509 | 48
510 | 34
511 | 33
512 | 11
513 | 46
514 | 26
515 | 13
516 | 1
517 | 21
518 | 24
519 | 28
520 | 42
521 | 45
522 | 7
523 | 41
524 | 49
525 | 12
526 | 0
527 | 1
528 | 37
529 | 26
530 | 6
531 | 13
532 | 48
533 | 10
534 | 11
535 | 33
536 | 2
537 | 36
538 | 14
539 | 46
540 | 17
541 | 39
542 | 48
543 | 6
544 | 33
545 | 5
546 | 0
547 | 5
548 | 16
549 | 28
550 | 32
551 | 5
552 | 32
553 | 0
554 | 43
555 | 2
556 | 47
557 | 22
558 | 26
559 | 24
560 | 40
561 | 9
562 | 26
563 | 23
564 | 49
565 | 28
566 | 26
567 | 10
568 | 37
569 | 14
570 | 13
571 | 29
572 | 7
573 | 9
574 | 18
575 | 1
576 | 28
577 | 31
578 | 18
579 | 20
580 | 32
581 | 49
582 | 0
583 | 21
584 | 21
585 | 18
586 | 14
587 | 0
588 | 45
589 | 0
590 | 13
591 | 38
592 | 29
593 | 18
594 | 0
595 | 22
596 | 22
597 | 9
598 | 10
599 | 49
600 | 35
601 | 11
602 | 27
603 | 11
604 | 46
605 | 31
606 | 22
607 | 42
608 | 10
609 | 22
610 | 19
611 | 34
612 | 22
613 | 45
614 | 26
615 | 45
616 | 39
617 | 36
618 | 0
619 | 36
620 | 25
621 | 6
622 | 28
623 | 9
624 | 50
625 | 24
626 | 50
627 | 30
628 | 40
629 | 6
630 | 12
631 | 6
632 | 42
633 | 17
634 | 1
635 | 44
636 | 44
637 | 5
638 | 28
639 | 40
640 | 48
641 | 11
642 | 21
643 | 32
644 | 19
645 | 17
646 | 17
647 | 44
648 | 22
649 | 46
650 | 0
651 | 35
652 | 10
653 | 1
654 | 21
655 | 0
656 | 10
657 | 14
658 | 50
659 | 25
660 | 49
661 | 48
662 | 18
663 | 32
664 | 1
665 | 32
666 | 2
667 | 33
668 | 4
669 | 36
670 | 28
671 | 5
672 | 39
673 | 44
674 | 38
675 | 11
676 | 31
677 | 48
678 | 20
679 | 6
680 | 49
681 | 21
682 | 11
683 | 0
684 | 42
685 | 14
686 | 1
687 | 5
688 | 34
689 | 34
690 | 31
691 | 31
692 | 18
693 | 45
694 | 11
695 | 1
696 | 3
697 | 45
698 | 22
699 | 34
700 | 25
701 | 30
702 | 37
703 | 20
704 | 13
705 | 8
706 | 17
707 | 34
708 | 35
709 | 26
710 | 49
711 | 19
712 | 29
713 | 27
714 | 13
715 | 21
716 | 49
717 | 35
718 | 22
719 | 13
720 | 49
721 | 0
722 | 26
723 | 1
724 | 46
725 | 39
726 | 1
727 | 12
728 | 43
729 | 18
730 | 32
731 | 31
732 | 10
733 | 12
734 | 10
735 | 41
736 | 11
737 | 21
738 | 5
739 | 20
740 | 5
741 | 9
742 | 12
743 | 50
744 | 2
745 | 3
746 | 44
747 | 44
748 | 30
749 | 29
750 | 9
751 | 18
752 | 7
753 | 3
754 | 23
755 | 17
756 | 11
757 | 39
758 | 46
759 | 0
760 | 5
761 | 11
762 | 22
763 | 37
764 | 3
765 | 28
766 | 1
767 | 50
768 | 36
769 | 22
770 | 12
771 | 34
772 | 5
773 | 7
774 | 33
775 | 8
776 | 9
777 | 26
778 | 5
779 | 25
780 | 27
781 | 24
782 | 44
783 | 9
784 | 13
785 | 23
786 | 30
787 | 37
788 | 43
789 | 45
790 | 34
791 | 0
792 | 9
793 | 41
794 | 7
795 | 3
796 | 39
797 | 12
798 | 38
799 | 47
800 | 8
801 | 37
802 | 37
803 | 50
804 | 47
805 | 35
806 | 19
807 | 2
808 | 21
809 | 2
810 | 27
811 | 48
812 | 33
813 | 11
814 | 1
815 | 9
816 | 14
817 | 24
818 | 37
819 | 34
820 | 37
821 | 1
822 | 48
823 | 37
824 | 48
825 | 29
826 | 47
827 | 37
828 | 21
829 | 18
830 | 29
831 | 37
832 | 22
833 | 24
834 | 0
835 | 39
836 | 3
837 | 16
838 | 42
839 | 2
840 | 26
841 | 25
842 | 26
843 | 17
844 | 10
845 | 6
846 | 0
847 | 26
848 | 49
849 | 24
850 | 40
